epoch,train_loss,val_loss,train_acc,val_acc
Best model test acc and loss at epoch 16:,65.26806526806527,0,,
Last model test acc and loss at epoch 26:,65.26806526806527,0,,
0,3.074031584361601,2.847551107406616,32.06481481481482,35.833333333333336
1,2.2918060058672753,2.619586279517726,52.98148148148148,43.916666666666664
2,1.9707188324110043,2.46781409414191,63.05555555555556,48.75
3,1.7561308413567627,2.672307152497141,70.98148148148148,44.25
4,1.5644744507659822,2.537870407104492,77.9074074074074,48.833333333333336
5,1.4204303442373785,2.5001414826041772,83.55555555555556,50.5
6,1.3043466757035114,2.4302376445971037,88.17592592592592,52.833333333333336
7,1.2289240198022515,2.441339379862735,90.71296296296296,50.833333333333336
8,1.1819463650855793,2.3655260236639726,92.5,54.833333333333336
9,1.154777916225456,2.3269193799872148,93.75,55.166666666666664
10,1.1384006442402947,2.404719955042789,94.06481481481481,53.666666666666664
11,1.109993842931894,2.6139808328528154,94.98148148148148,48.083333333333336
12,1.0919637020523025,2.4676563112359298,95.44444444444444,51.5
13,1.0755641023082847,2.344953831873442,96.02777777777777,55.833333333333336
14,0.9787710651138125,2.0092334308122335,98.91666666666667,65.25
15,0.922003974223278,2.0047894402554163,99.75925925925925,65.66666666666667
16,0.9009350781610026,2.0010416884171334,99.86111111111111,66.58333333333333
17,0.8886755768363997,2.013698414752358,99.87037037037037,67.08333333333333
18,0.8791412291442149,2.016599121846651,99.85185185185185,66.75
19,0.8711333137292129,2.0115529988941394,99.91666666666667,67.0
20,0.8657446821060406,2.0290322429255436,99.87962962962963,66.66666666666667
21,0.8596144907573271,2.0310626343676916,99.9074074074074,66.41666666666667
22,0.8580833677004075,2.0308493062069544,99.93518518518519,66.33333333333333
23,0.8568052085193657,2.0424498256884123,99.91666666666667,66.75
24,0.8567471821632611,2.0351315109353316,99.9074074074074,66.83333333333333
25,0.8556916061237719,2.0335571640416195,99.92592592592592,66.91666666666667
26,0.8555248277427177,2.034571911159315,99.93518518518519,66.91666666666667
