epoch,train_loss,val_loss,train_acc,val_acc
Best model test acc and loss at epoch 88:,2.808857808857809,0,,
Last model test acc and loss at epoch 99:,2.808857808857809,0,,
0,5.262515093150892,5.133245869686729,0.8333333333333334,0.9166666666666666
1,5.049517493498953,4.895083753686202,1.1666666666666667,1.5
2,4.934056959654155,4.752493707757247,1.4166666666666667,1.4166666666666667
3,4.80063291599876,4.732883227498908,1.8333333333333333,1.9166666666666667
4,4.8109393245295475,4.756812045448704,1.4166666666666667,2.4166666666666665
5,4.787600981561761,4.830281182339317,1.8333333333333333,0.8333333333333334
6,4.898634948228535,4.871863967493961,1.0,1.0833333333333333
7,4.904826741469534,4.826915941740337,0.3333333333333333,1.25
8,4.857061499043515,4.776525146082828,1.0,1.25
9,4.842284252769069,4.792615087408769,1.4166666666666667,1.4166666666666667
10,4.832533234044125,4.715857907345421,1.0,1.9166666666666667
11,4.82609160322892,4.715406894683838,1.5833333333333333,1.25
12,4.780008428975155,4.699605213968377,1.0833333333333333,2.0833333333333335
13,4.767349519227681,4.704292623620284,1.0,2.0833333333333335
14,4.777289930142854,4.801193387884843,1.3333333333333333,1.1666666666666667
15,4.789798159348337,4.8109335146452255,1.1666666666666667,1.0833333333333333
16,4.761917704030087,4.692978909141139,1.0833333333333333,1.5
17,4.753107196406314,4.708616432390715,1.0,1.8333333333333333
18,4.753263536252473,4.731499872709575,1.3333333333333333,1.9166666666666667
19,4.7308402814363175,4.759158586200915,2.0,0.8333333333333334
20,4.73584592969794,4.680296546534488,0.9166666666666666,1.4166666666666667
21,4.712838411331177,4.663555069973595,2.0,1.5
22,4.711486979534752,4.701501319282933,2.25,2.0833333333333335
23,4.711797199751201,4.6583208786813834,2.0,2.0
24,4.7012176513671875,4.669830849296169,1.8333333333333333,1.75
25,4.688887822000604,4.667109389054148,1.75,2.0
26,4.680565231724789,4.764834153024774,1.75,1.4166666666666667
27,4.70835018157959,4.700525760650635,1.75,1.5
28,4.720534462677805,4.74822295339484,2.0833333333333335,1.5
29,4.739623797567267,4.704624502282393,1.0833333333333333,1.75
30,4.743335071362947,4.723185915695994,1.1666666666666667,1.8333333333333333
31,4.7129511080290145,4.6864879005833675,1.3333333333333333,1.0
32,4.71617751372488,4.6818920687625285,1.5833333333333333,1.25
33,4.71317606223257,4.670872964357075,1.5,1.1666666666666667
34,4.674154068294325,4.740448976817884,1.8333333333333333,1.4166666666666667
35,4.706459785762586,4.698181227633827,1.1666666666666667,1.5
36,4.696754254792866,4.763639876717015,1.25,1.4166666666666667
37,4.712893272701063,4.666310937781083,1.6666666666666667,1.9166666666666667
38,4.697807475140221,4.653282366300884,1.1666666666666667,1.8333333333333333
39,4.6778535089994735,4.673779111159475,2.0833333333333335,1.6666666666666667
40,4.691112116763466,4.671746680611058,1.1666666666666667,1.6666666666666667
41,4.6681757098750065,4.6702219310559725,2.1666666666666665,1.25
42,4.682040314925344,4.663293311470433,1.6666666666666667,0.9166666666666666
43,4.670228782453035,4.643629826997456,2.3333333333333335,1.5
44,4.662202132375617,4.644894800688091,1.5833333333333333,1.4166666666666667
45,4.6659207971472485,4.6600820390801685,2.1666666666666665,2.5833333333333335
46,4.642828276282863,4.621915315326891,2.5,2.0833333333333335
47,4.661363388362684,4.661455957513106,2.0,1.6666666666666667
48,4.623865805174175,4.675795304147821,3.3333333333333335,1.9166666666666667
49,4.673521794770894,4.641125026502107,1.6666666666666667,1.8333333333333333
50,4.660332654651842,4.643594415564286,1.9166666666666667,2.0833333333333335
51,4.67654487961217,4.685098597877904,2.1666666666666665,2.5
52,4.70661557348151,4.719127077805369,2.25,1.5833333333333333
53,4.665285110473633,4.677427869094045,2.25,2.3333333333333335
54,4.668018880643342,4.67434192958631,1.25,1.5
55,4.6304574263723275,4.62979467291581,1.5833333333333333,2.3333333333333335
56,4.619752156107049,4.634410757767527,2.1666666666666665,1.6666666666666667
57,4.5925835684726115,4.613481220446135,2.6666666666666665,2.5
58,4.603313521334999,4.602871995223196,2.75,2.3333333333333335
59,4.592464409376445,4.587442473361366,3.5,2.75
60,4.607162312457436,4.589090623353657,3.0,2.0833333333333335
61,4.584255732988057,4.573039381127608,3.6666666666666665,2.4166666666666665
62,4.571019963214272,4.602944825824938,3.5,2.3333333333333335
63,4.600381750809519,4.759284245340448,2.5,2.1666666666666665
64,4.636157838921798,4.626483314915707,2.5,2.4166666666666665
65,4.58955895273309,4.579013523302581,2.6666666666666665,3.25
66,4.565094822331479,4.579365127965024,3.5,3.0833333333333335
67,4.550160671535291,4.58479484758879,3.5833333333333335,2.3333333333333335
68,4.549025410100033,4.601918170326634,3.9166666666666665,3.0833333333333335
69,4.587542985614977,4.592131689975136,2.6666666666666665,2.5833333333333335
70,4.572318679408023,4.582605462325247,3.25,2.5
71,4.53555504899276,4.577519316422312,3.6666666666666665,2.25
72,4.52335030154178,4.618396583356355,3.6666666666666665,2.5833333333333335
73,4.5547160851327995,4.57566994114926,3.5,2.0833333333333335
74,4.559437136901052,4.575404744399221,3.1666666666666665,2.3333333333333335
75,4.538329475804379,4.567111341576827,3.6666666666666665,1.9166666666666667
76,4.564727645171316,4.576834528069747,4.75,2.5833333333333335
77,4.544923819993672,4.563625410983437,3.75,2.25
78,4.509136626594945,4.57998325950221,4.166666666666667,2.1666666666666665
79,4.5197960577513046,4.5750305527134945,4.25,2.3333333333333335
80,4.530172536247655,4.568656068099172,4.75,2.8333333333333335
81,4.483557763852571,4.5669124753851635,3.8333333333333335,2.25
82,4.53728091089349,4.563819935447292,4.416666666666667,2.5
83,4.512853622436523,4.5560963279322575,4.916666666666667,2.5833333333333335
84,4.521938198491147,4.557885697013454,3.75,2.6666666666666665
85,4.534975102073268,4.553532901563142,3.8333333333333335,2.5833333333333335
86,4.524878476795397,4.554070949554443,4.5,2.5833333333333335
87,4.536715419668901,4.549039137990851,4.166666666666667,2.75
88,4.548311183327122,4.548707158941972,3.75,2.5833333333333335
89,4.47973014179029,4.558091740859182,4.416666666666667,2.9166666666666665
90,4.485218424546091,4.551542984811883,4.666666666666667,2.6666666666666665
91,4.50190564205772,4.555371284484863,4.083333333333333,2.8333333333333335
92,4.47374533352099,4.554477114426462,5.083333333333333,2.0833333333333335
93,4.535023262626247,4.555363504510177,4.166666666666667,2.3333333333333335
94,4.458978050633481,4.552278117129677,3.75,2.5
95,4.448906308726261,4.55553476434005,3.9166666666666665,2.6666666666666665
96,4.489804531398573,4.558409364599931,4.0,2.8333333333333335
97,4.5353873152481885,4.557078185834382,3.8333333333333335,2.3333333333333335
98,4.51885085356863,4.556748214520906,4.0,2.6666666666666665
99,4.511280762521844,4.55551636846442,4.5,2.5
