epoch,train_loss,val_loss,train_acc,val_acc
Best model test acc and loss at epoch 23:,7.599067599067599,0,,
Last model test acc and loss at epoch 29:,7.599067599067599,0,,
0,4.878892120562102,4.851608251270495,0.6666666666666666,0.5
1,4.848079555913022,4.848477413779811,0.8333333333333334,0.25
2,4.816394354167738,4.81378362053319,0.75,1.8333333333333333
3,4.785276500802291,6.72638097562288,1.6666666666666667,1.0833333333333333
4,4.781486297908582,5.7469461089686344,1.9166666666666667,1.6666666666666667
5,4.696320408268979,4.907868284928171,2.5,2.0
6,4.61586594581604,5.2086968421936035,2.5833333333333335,2.3333333333333335
7,4.484850281163266,4.786686094183671,4.583333333333333,2.6666666666666665
8,4.372199698498375,4.800093349657561,4.833333333333333,3.0833333333333335
9,4.273564558280142,4.80810546875,5.25,2.9166666666666665
10,4.176033584695113,4.606233897962068,8.5,3.25
11,4.086954976383009,4.772674158999794,10.166666666666666,3.6666666666666665
12,3.994570123521905,4.582518577575684,11.25,4.0
13,3.8168489807530452,4.633694849516216,15.333333333333334,4.166666666666667
14,3.6970881600128975,4.653852839218943,17.166666666666668,4.083333333333333
15,3.5741052627563477,4.949523524234169,21.166666666666668,4.75
16,3.4133967788595903,4.685445860812538,23.5,4.416666666666667
17,3.2656567535902323,4.6609313613490055,30.25,4.0
18,3.1521082740080986,4.889135235234311,34.083333333333336,5.083333333333333
19,2.9753471989380684,4.563762313441226,41.166666666666664,5.583333333333333
20,2.826919022359346,4.587890599903307,45.5,5.833333333333333
21,2.6821346722151103,4.561350069547954,52.833333333333336,6.0
22,2.5809294550042403,4.519075694837068,57.666666666666664,6.5
23,2.4790397568752893,4.504378494463469,61.5,7.083333333333333
24,2.4233859965675757,4.521164944297389,63.833333333333336,6.583333333333333
25,2.3910272623363293,4.5173313492222835,67.0,6.75
26,2.3451116775211536,4.5146685650474145,67.33333333333333,6.75
27,2.373062353385122,4.509374668723659,67.16666666666667,6.416666666666667
28,2.397342136031703,4.520798507489656,66.66666666666667,6.75
29,2.3899809310310767,4.5238166859275415,65.33333333333333,6.75
