epoch,train_loss,val_loss,train_acc,val_acc
Best model test acc and loss at epoch 36:,3.8228438228438226,0,,
Last model test acc and loss at epoch 49:,3.8228438228438226,0,,
0,4.894757910778648,4.785757115012721,0.6666666666666666,0.9166666666666666
1,4.755620341551931,4.747303611353824,0.9166666666666666,2.25
2,4.853762024327328,4.675964179791902,2.4166666666666665,3.0
3,4.613898515701294,4.691865870827122,2.8333333333333335,2.6666666666666665
4,4.687135119187205,4.75575233760633,2.8333333333333335,2.3333333333333335
5,4.753707107744719,4.87847375869751,2.1666666666666665,1.5833333333333333
6,4.813691390188117,4.885311352579217,1.5,1.0833333333333333
7,4.811415032336586,4.772996099371659,1.6666666666666667,2.25
8,4.766877977471602,4.9402358908402295,2.3333333333333335,1.3333333333333333
9,4.8555562245218375,4.783904176009329,1.0,1.75
10,4.8143789140801685,4.829932087346127,1.3333333333333333,0.9166666666666666
11,4.812251003164994,4.782689822347541,1.1666666666666667,1.75
12,4.80552255479913,4.766398781224301,1.3333333333333333,1.75
13,4.745304960953562,4.722104750181499,1.25,2.0
14,4.736896276473999,4.713435147937975,2.25,1.3333333333333333
15,4.7085980365150855,4.748115087810316,1.75,2.3333333333333335
16,4.675890081807187,4.73752340517546,1.6666666666666667,1.6666666666666667
17,4.652322869551809,4.739531542125501,2.4166666666666665,2.25
18,4.643499913968538,4.679148523431075,2.1666666666666665,2.4166666666666665
19,4.6040450146323755,4.6833366343849585,3.25,2.6666666666666665
20,4.624266963256033,4.791427110370837,2.5,1.9166666666666667
21,4.5901729684127,4.681683490150853,2.6666666666666665,2.5
22,4.581454465263768,4.660459192175614,2.9166666666666665,2.3333333333333335
23,4.59286241782339,4.668853057058234,3.1666666666666665,1.8333333333333333
24,4.533441844739412,4.681253157163921,2.5,2.25
25,4.515116327687314,4.672190942262349,3.5833333333333335,2.5833333333333335
26,4.481878933153655,4.667479891526072,3.1666666666666665,2.6666666666666665
27,4.461306044929906,4.683074298657869,4.25,2.6666666666666665
28,4.465423860047993,4.641455625232897,5.0,3.5
29,4.455783329511943,4.6750181599667195,3.8333333333333335,2.0833333333333335
30,4.445704347208927,4.715893168198435,4.416666666666667,2.9166666666666665
31,4.410824461987144,4.64513269223665,4.833333333333333,3.4166666666666665
32,4.379235631541202,4.673270175331517,4.25,2.5
33,4.357701514896593,4.68485342828851,5.666666666666667,3.1666666666666665
34,4.315254236522474,4.644347391630474,6.166666666666667,3.3333333333333335
35,4.306045695355064,4.635694779847798,7.166666666666667,3.6666666666666665
36,4.283096551895142,4.623053299753289,6.666666666666667,3.9166666666666665
37,4.2865124752647,4.653495939154374,6.833333333333333,3.5833333333333335
38,4.253371157144246,4.645958574194657,6.75,3.25
39,4.214355475024173,4.668348814311781,7.583333333333333,3.5
40,4.207255344641836,4.659020298405697,8.0,3.3333333333333335
41,4.189008900993748,4.647538360796477,8.5,3.0
42,4.159015021826091,4.650507851650841,8.75,3.25
43,4.153926805446022,4.6526949029219775,9.5,3.1666666666666665
44,4.129298191321523,4.657599097804019,7.583333333333333,3.3333333333333335
45,4.1697214967326115,4.667916573976216,7.833333333333333,3.3333333333333335
46,4.1441396412096525,4.655332063373766,9.0,3.3333333333333335
47,4.114170582670915,4.650793426915219,8.75,3.0833333333333335
48,4.140889343462493,4.6582586137872,9.5,3.5
49,4.165349859940378,4.655571536013954,7.416666666666667,3.5833333333333335
