epoch,train_loss,val_loss,train_acc,val_acc,test_acc,total_training_testing_time
1,2.1258957780850163,1.9087380081415177,18.5175,26.84,42.35,203.93532299995422
2,1.6902156886021802,1.494681614637375,34.295,43.06,42.35,203.93532299995422
