epoch,train_loss,val_loss,train_acc,val_acc
Best model test acc and loss at epoch 16:,69.05594405594405,0,,
Last model test acc and loss at epoch 29:,69.05594405594405,0,,
0,4.839011866995629,4.636826816358064,1.2333333333333334,2.8333333333333335
1,4.47680112148853,4.299032888914409,6.7,11.333333333333334
2,2.9829540861413832,2.381051916825144,46.35,57.0
3,2.048451503540607,2.398318780095954,65.13333333333334,49.916666666666664
4,1.8546187979109743,2.565164039009496,68.9,46.833333333333336
5,1.8773529352025782,2.790388822555542,67.31666666666666,43.0
6,1.77938397133604,3.0233106236708793,70.33333333333333,36.333333333333336
7,1.5525728907990963,2.6819244685925936,79.73333333333333,45.166666666666664
8,1.3611702158095988,2.323435068130493,86.1,53.583333333333336
9,1.1806046886647001,2.3512804382725765,93.48333333333333,54.5
10,1.1007944497656315,2.124974984871714,96.1,59.5
11,1.0237431855911905,2.1016776624478792,98.26666666666667,62.75
12,0.9860701110768826,2.0566244690041793,98.91666666666667,63.75
13,0.9535123534659122,2.0508052110671997,99.38333333333334,63.833333333333336
14,0.9314079855350738,2.0079938675227917,99.53333333333333,66.25
15,0.909290555943834,2.0050880971707796,99.83333333333333,65.5
16,0.9005798253607242,1.975305896056326,99.7,67.75
17,0.8867265626471094,1.9791862023504156,99.86666666666666,68.0
18,0.8819249862052024,1.9811039786589772,99.8,67.75
19,0.8736534486425683,1.9897563394747282,99.83333333333333,68.16666666666667
20,0.8685706853866577,1.9876676546899896,99.88333333333334,68.16666666666667
21,0.8660327316598689,1.9853908325496472,99.86666666666666,68.08333333333333
22,0.8613005350244806,1.9832185318595486,99.9,68.58333333333333
23,0.8601275720494859,1.9862311200091713,99.86666666666666,68.75
24,0.8582972782723447,1.9833836555480957,99.83333333333333,69.0
25,0.8580609401489826,1.986939505526894,99.86666666666666,68.58333333333333
26,0.8578298269434178,1.9819757561934621,99.88333333333334,68.66666666666667
27,0.8584248544053829,1.986080577498988,99.85,68.66666666666667
28,0.8591842347003044,1.9845668830369647,99.83333333333333,69.08333333333333
29,0.8572000785076872,1.9851248891730058,99.93333333333334,68.91666666666667
