epoch,train_loss,val_loss,train_acc,val_acc
Test acc and loss:,85.29,0.5928377509117126,,
0,1.281542854891582,0.9898413747549057,53.08222222222222,64.92
1,0.7818257270211523,1.3292012572288514,72.31555555555556,59.58
2,0.5877044766464017,0.6837852329015732,79.37333333333333,77.06
3,0.44796747070821846,0.5764229625463486,84.38888888888889,79.88
4,0.3542015752331777,0.9248894095420838,87.55777777777777,70.68
5,0.2736021631651304,0.7122890025377273,90.53777777777778,77.74
6,0.20938141851431943,0.7987667471170425,92.68,76.6
7,0.16861457771367647,0.8524493426084518,94.14,77.44
8,0.04758579652248458,0.4775014936923981,98.68888888888888,85.52
9,0.015437268614980647,0.49116424173116685,99.83777777777777,85.8
10,0.008965396618639881,0.5004232600331306,99.95555555555555,85.82
11,0.0059712431234815585,0.5183816313743591,99.98,85.66
12,0.004315015653529289,0.517946894466877,99.99777777777778,85.94
13,0.0033240583143197,0.5218759641051293,99.99777777777778,85.78
