2025-04-15 19:34:05,788 | INFO | Job Started
2025-04-15 19:34:05,789 | INFO | Logging run: /rds/general/user/psp20/home/Brain-Network/runs/simple_cnn_20250415-193404
2025-04-15 19:34:05,789 | INFO | Config:
{
  "run_name": "simple_cnn",
  "writer": true,
  "seed": 42,
  "train_split": 0.9,
  "batch_size": 256,
  "num_workers": 2,
  "model_type": "fast_cnn",
  "optimizer": "adam",
  "criterion": "CE",
  "lr": 0.001,
  "epochs": 50
}
2025-04-15 19:36:22,594 | INFO | Epoch 37: Train Loss=0.4010, Train Acc=86.19% | Val Loss=1.1768, Val Acc=66.50% | Time: 3.53s
2025-04-15 19:36:26,101 | INFO | Epoch 38: Train Loss=0.3932, Train Acc=86.35% | Val Loss=1.1959, Val Acc=66.50% | Time: 3.51s
2025-04-15 19:36:29,620 | INFO | Epoch 39: Train Loss=0.3793, Train Acc=86.87% | Val Loss=1.2315, Val Acc=66.60% | Time: 3.52s
2025-04-15 19:36:33,129 | INFO | Epoch 40: Train Loss=0.3710, Train Acc=87.06% | Val Loss=1.2273, Val Acc=66.58% | Time: 3.51s
2025-04-15 19:36:36,632 | INFO | Epoch 41: Train Loss=0.3554, Train Acc=87.88% | Val Loss=1.3249, Val Acc=65.84% | Time: 3.50s
2025-04-15 19:36:40,144 | INFO | Epoch 42: Train Loss=0.3461, Train Acc=88.16% | Val Loss=1.2832, Val Acc=65.94% | Time: 3.51s
2025-04-15 19:36:43,679 | INFO | Epoch 43: Train Loss=0.3362, Train Acc=88.35% | Val Loss=1.3465, Val Acc=65.94% | Time: 3.53s
2025-04-15 19:36:47,206 | INFO | Epoch 44: Train Loss=0.3308, Train Acc=88.56% | Val Loss=1.3624, Val Acc=65.58% | Time: 3.53s
2025-04-15 19:36:50,718 | INFO | Epoch 45: Train Loss=0.3067, Train Acc=89.38% | Val Loss=1.3774, Val Acc=65.76% | Time: 3.51s
2025-04-15 19:36:54,233 | INFO | Epoch 46: Train Loss=0.2970, Train Acc=89.99% | Val Loss=1.4312, Val Acc=65.96% | Time: 3.51s
2025-04-15 19:36:57,742 | INFO | Epoch 47: Train Loss=0.2973, Train Acc=89.81% | Val Loss=1.4507, Val Acc=65.62% | Time: 3.51s
2025-04-15 19:37:01,251 | INFO | Epoch 48: Train Loss=0.2806, Train Acc=90.37% | Val Loss=1.4866, Val Acc=65.64% | Time: 3.51s
2025-04-15 19:37:04,783 | INFO | Epoch 49: Train Loss=0.2699, Train Acc=90.76% | Val Loss=1.5053, Val Acc=65.44% | Time: 3.53s
2025-04-15 19:37:08,305 | INFO | Epoch 50: Train Loss=0.2595, Train Acc=91.44% | Val Loss=1.5519, Val Acc=65.36% | Time: 3.52s
2025-04-15 19:37:09,235 | INFO | Test Accuracy: 65.51% | Test Loss: 1.57
2025-04-15 19:37:09,664 | INFO | 
Job Completed
